,DATE,DailyAverageDryBulbTemperature,year
3767,2015-04-26,84.0,2015
3768,2015-04-27,71.0,2015
3769,2015-04-28,58.0,2015
3770,2015-04-29,74.0,2015
3771,2015-04-30,79.0,2015
3772,2015-05-01,81.0,2015
3773,2015-05-02,83.0,2015
3774,2015-05-03,81.0,2015
3775,2015-05-04,82.0,2015
3776,2015-05-05,80.0,2015
3777,2015-05-06,82.0,2015
3778,2015-05-07,83.0,2015
3779,2015-05-08,85.0,2015
3780,2015-05-09,83.0,2015
3781,2015-05-10,79.0,2015
3782,2015-05-11,71.0,2015
3783,2015-05-12,71.0,2015
3784,2015-05-13,68.0,2015
3785,2015-05-14,84.0,2015
3786,2015-05-15,79.0,2015
3787,2015-05-16,85.0,2015
3788,2015-05-17,81.0,2015
3789,2015-05-18,88.0,2015
3790,2015-05-19,81.0,2015
3791,2015-05-20,85.0,2015
3792,2015-05-21,64.0,2015
3793,2015-05-22,68.0,2015
3794,2015-05-23,82.0,2015
3795,2015-05-24,78.0,2015
3796,2015-05-25,78.0,2015
3797,2015-05-26,81.0,2015
3798,2015-05-27,86.0,2015
3799,2015-05-28,88.0,2015
3800,2015-05-29,80.0,2015
3801,2015-05-30,78.0,2015
3802,2015-05-31,79.0,2015
3803,2015-06-01,85.0,2015
3804,2015-06-02,89.0,2015
3805,2015-06-03,91.0,2015
3806,2015-06-04,91.0,2015
3807,2015-06-05,92.0,2015
3808,2015-06-06,93.0,2015
3809,2015-06-07,93.0,2015
3810,2015-06-08,95.0,2015
3811,2015-06-09,96.0,2015
3812,2015-06-10,97.0,2015
3813,2015-06-11,94.0,2015
3814,2015-06-12,94.0,2015
3815,2015-06-13,92.0,2015
3816,2015-06-14,91.0,2015
3817,2015-06-15,92.0,2015
3818,2015-06-16,84.0,2015
3819,2015-06-17,78.0,2015
3820,2015-06-18,93.0,2015
3821,2015-06-19,94.0,2015
3822,2015-06-20,87.0,2015
3823,2015-06-21,89.0,2015
3824,2015-06-22,94.0,2015
3825,2015-06-23,93.0,2015
3826,2015-06-24,94.0,2015
3827,2015-06-25,95.0,2015
3828,2015-06-26,96.0,2015
3829,2015-06-27,88.0,2015
3830,2015-06-28,91.0,2015
3831,2015-06-29,95.0,2015
3832,2015-06-30,95.0,2015
3833,2015-07-01,94.0,2015
3834,2015-07-02,93.0,2015
3835,2015-07-03,92.0,2015
3836,2015-07-04,95.0,2015
3837,2015-07-05,92.0,2015
3838,2015-07-06,93.0,2015
3839,2015-07-07,89.0,2015
3840,2015-07-08,84.0,2015
3841,2015-07-09,92.0,2015
3842,2015-07-10,93.0,2015
3843,2015-07-11,94.0,2015
3844,2015-07-12,97.0,2015
3845,2015-07-13,99.0,2015
3846,2015-07-14,99.0,2015
3847,2015-07-15,96.0,2015
3848,2015-07-16,96.0,2015
3849,2015-07-17,97.0,2015
3850,2015-07-18,99.0,2015
3851,2015-07-19,98.0,2015
3852,2015-07-20,99.0,2015
3853,2015-07-21,98.0,2015
3854,2015-07-22,98.0,2015
3855,2015-07-23,99.0,2015
3856,2015-07-24,99.0,2015
3857,2015-07-25,99.0,2015
3858,2015-07-26,99.0,2015
3859,2015-07-27,99.0,2015
3860,2015-07-28,98.0,2015
3861,2015-07-29,100.0,2015
3862,2015-07-30,101.0,2015
3863,2015-07-31,97.0,2015
3864,2015-08-01,95.0,2015
3865,2015-08-02,97.0,2015
